Index,Keyword,Tweets
178,Master Yi,: I think could do a Star Wars themed event and skins: Jedi Yasuo Bubba fat orn stormtrooper Lucian Sith fioâ¦
179,Master Yi,: Daily Life of Earth Master Yi
180,Master Yi,: Daily Life of Earth Master Yi
181,Master Yi,Master yi too high
182,Master Yi,fizz is above master yi master yi is below Janna
183,Master Yi,I think could do a Star Wars themed event and skins: Jedi Yasuo Bubba fat orn stormtrooper Lucianâ¦
184,Master Yi,: Daily Life of Earth Master Yi
185,Master Yi,: EU PICKO MASTER YI INDEPENDENTE DA MATCHUP!
186,Master Yi,EU PICKO MASTER YI INDEPENDENTE DA MATCHUP!
187,Master Yi,: Daily Life of Earth Master Yi
188,Master Yi,"""Master Sima Yi, will you join me tonight? All night?"" - Wang Yi"
189,Master Yi,Signed by: Master Yi player
190,Master Yi,: Daily Life of Earth Master Yi
191,Master Yi,"Rammus Jungle Season Gameplay - Gold IV Against Master Yi - League of Legends, watch now at:â¦"
192,Master Yi,"""What a lovely laugh you have, Master Sima Yi."" - Wang Yi"
193,Master Yi,: MASTER YI TOP? (QUEST FOR FOLLOWERS) â¦
194,Master Yi,: MASTER YI TOP? (QUEST FOR FOLLOWERS) â¦
195,Master Yi,: Daily Life of Earth Master Yi
196,Master Yi,: Daily Life of Earth Master Yi
197,Master Yi,: MASTER YI TOP? (QUEST FOR FOLLOWERS) â¦
198,Master Yi,: Daily Life of Earth Master Yi
199,Master Yi,: MASTER YI TOP? (QUEST FOR FOLLOWERS) â¦
