Keyword,Positive_Tweets,Negative_Tweets,Neutral_Tweets
yasuo,23.681818181818183,0.3181818181818182,0.0
Akali,10.647058823529411,1.3529411764705883,0.0
zed,28.894736842105264,3.1052631578947367,1.0
